"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training1","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","435907.5","435907.5","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","0","0","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","3935","867880","3935","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","1","odd","872006","NA","NA","3682","872008","NA","3687","871570","NA","879047","3687","878967","875030","872008","NA","875030","NA","871570","NA","New experiment","0","871815","2","yes","1024","6"
"undefined","undefined","295467.333333","295467.333333","black","legacy","2li","0","li","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","1","1","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","PL","PST","3","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","14587","867880","14587","NA","2","Гости не сообщили, приедут ли они.","1024","2","48000","-16","experiment","PRF","PL","FUT","vs","1","odd","879471","NA","NA","3682","879473","NA","3687","871570","NA","896528","3687","896448","881859","879473","NA","881858","NA","871570","NA","New experiment","0","886402","3","yes","1024","6"
"undefined","undefined","222679.25","222679.25","black","legacy","12esli","0","esli","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","PST","24","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","4315","867880","4315","NA","2","Нина спросила, если дети поели.","1024","2","48000","-16","experiment","PRF","PL","PST","sv","1","odd","896873","NA","NA","3682","896875","NA","3687","871570","NA","903476","3687","903396","899079","896875","NA","899078","NA","871570","NA","New experiment","0","890717","4","yes","1024","5"
"undefined","undefined","301359.5","301359.5","black","legacy","8li","0","li","NA","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","0","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","PST","15","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1737","915703","1737","NA","2","Миша уточнил, будет ли на обед суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","vos","1","odd","919678","919391","NA","3682","919680","NA","3687","871570","NA","923958","3687","923878","922139","919680","903567","922139","NA","871570","NA","New experiment","0","1808157","6","yes","1024","7"
"undefined","undefined","258663.285714","258663.285714","black","legacy","1li","0","li","NA","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","1","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","IMP","SG","PST","1","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2486","915703","2486","NA","2","Саша не знала, придут ли дети домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","vso","1","odd","924334","919391","NA","3682","924336","NA","3687","871570","NA","929307","3687","929227","926738","924336","903567","926738","NA","871570","NA","New experiment","0","1810643","7","yes","1024","7"
"undefined","undefined","226832.75","226832.75","black","legacy","18esli","0","esli","NA","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","PL","PST","36","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","4019","915703","4019","NA","2","Хозяева уточнили, если Маша выключила плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","svo","1","odd","929728","919391","NA","3682","929730","NA","3687","871570","NA","936879","3687","936799","932778","929730","903567","932778","NA","871570","NA","New experiment","0","1814662","8","yes","1024","6"
"undefined","undefined","201809.222222","201809.222222","black","legacy","3distr","0","distr","NA","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","3","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1621","915703","1621","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","1","odd","937310","919391","NA","3682","937312","NA","3687","871570","NA","942200","3687","942120","940497","937312","903567","940497","NA","871570","NA","New experiment","0","1816283","9","yes","1024","6"
"undefined","undefined","181766.2","181766.2","black","legacy","1distr","0","distr","NA","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","4","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1379","915703","1379","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","1","odd","942609","919391","NA","3682","942611","NA","3687","871570","NA","946810","3687","946730","945348","942611","903567","945347","NA","871570","NA","New experiment","0","1817662","10","yes","1024","7"
"undefined","undefined","165606.454545","165606.454545","black","legacy","15esli","0","esli","NA","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","5","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","PST","30","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","4009","915703","4009","NA","2","Учитель поинтересовался, если ученики выполнили задание.","1024","2","48000","-16","experiment","PRF","PL","PST","svo","1","odd","947255","919391","NA","3682","947257","NA","3687","871570","NA","954900","3687","954820","950808","947257","903567","950807","NA","871570","NA","New experiment","0","1821671","11","yes","1024","6"
"undefined","undefined","152092.416667","152092.416667","black","legacy","3li","0","li","NA","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","6","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","IMP","PL","PST","5","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","3438","915703","3438","NA","2","Туристы сомневались, будет ли вечером дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","1","odd","955286","919391","NA","3682","955288","NA","3687","871570","NA","961558","3687","961478","958037","955288","903567","958037","NA","871570","NA","New experiment","0","1825109","12","yes","1024","6"
