"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training1","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","156792.5","156792.5","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","0","0","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","4250","309335","4250","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","17","odd","313088","NA","NA","3400","313090","NA","3404","312741","NA","320449","3405","320369","316117","313090","NA","316117","NA","312741","NA","New experiment","0","313585","2","yes","1024","6"
"undefined","undefined","106142.666667","106142.666667","black","legacy","2li","0","li","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","1","1","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","PL","PST","3","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","4843","309335","4843","NA","2","Гости не сообщили, приедут ли они.","1024","2","48000","-16","experiment","PRF","PL","FUT","vs","17","odd","320890","NA","NA","3400","320892","NA","3404","312741","NA","328192","3405","328112","323266","320892","NA","323266","NA","312741","NA","New experiment","0","318428","3","yes","1024","6"
"undefined","undefined","80314","80314","black","legacy","12esli","0","esli","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","SG","PST","24","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","2828","309335","2828","NA","2","Нина спросила, если дети поели.","1024","2","48000","-16","experiment","PRF","PL","PST","sv","17","odd","328553","NA","NA","3400","328555","NA","3404","312741","NA","333685","3405","333605","330775","328555","NA","330775","NA","312741","NA","New experiment","0","321256","4","yes","1024","5"
"undefined","undefined","110025.166667","110025.166667","black","legacy","8li","0","li","NA","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","0","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","SG","PST","15","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1698","337197","1698","NA","2","Миша уточнил, будет ли на обед суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","vos","17","odd","340901","340602","NA","3400","340903","NA","3404","312741","NA","345118","3405","345038","343338","340904","333775","343337","NA","312741","NA","New experiment","0","660151","6","yes","1024","7"
"undefined","undefined","94433.4285714","94433.4285714","black","legacy","1li","0","li","NA","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","1","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","IMP","SG","PST","1","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","883","337197","883","NA","2","Саша не знала, придут ли дети домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","vso","17","odd","345494","340602","NA","3400","345496","NA","3404","312741","NA","348874","3405","348794","347908","345496","333775","347907","NA","312741","NA","New experiment","0","661034","7","yes","1024","7"
"undefined","undefined","83036.875","83036.875","black","legacy","18esli","0","esli","NA","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","PL","PST","36","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","3261","337197","3261","NA","2","Хозяева уточнили, если Маша выключила плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","svo","17","odd","349271","340602","NA","3400","349273","NA","3404","312741","NA","355662","3405","355581","352317","349273","333775","352316","NA","312741","NA","New experiment","0","664295","8","yes","1024","6"
"undefined","undefined","73924.8888889","73924.8888889","black","legacy","3distr","0","distr","NA","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","3","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1029","337197","1029","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","17","odd","356080","340602","NA","3400","356082","NA","3404","312741","NA","360389","3405","360309","359278","356082","333775","359277","NA","312741","NA","New experiment","0","665324","9","yes","1024","6"
"undefined","undefined","66761.1","66761.1","black","legacy","1distr","0","distr","NA","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","4","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2287","337197","2287","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","17","odd","360772","340602","NA","3400","360774","NA","3404","312741","NA","365886","3405","365806","363516","360775","333775","363516","NA","312741","NA","New experiment","0","667611","10","yes","1024","7"
"undefined","undefined","60750.8181818","60750.8181818","black","legacy","15esli","0","esli","NA","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","5","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","PRF","SG","PST","30","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","648","337197","648","NA","2","Учитель поинтересовался, если ученики выполнили задание.","1024","2","48000","-16","experiment","PRF","PL","PST","svo","17","odd","366321","340602","NA","3400","366323","NA","3404","312741","NA","370606","3405","370526","369876","366323","333775","369875","NA","312741","NA","New experiment","0","668259","11","yes","1024","6"
"undefined","undefined","55805.4166667","55805.4166667","black","legacy","3li","0","li","NA","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","12/13/19 12:40:26","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","6","2","C:/Users/lev/Documents/Results_LJ/L17HY.csv","IMP","PL","PST","5","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1406","337197","1406","NA","2","Туристы сомневались, будет ли вечером дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","17","odd","370987","340602","NA","3400","370989","NA","3404","312741","NA","375226","3405","375146","373737","370989","333775","373736","NA","312741","NA","New experiment","0","669665","12","yes","1024","6"
