"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training2","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","883279","883279","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","0","0","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.8","0","2","space","2","NA","13679","1752879","13679","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","36","even","1756926","NA","NA","3599","1756938","NA","3619","NA","1756513","1773740","3619","1773660","1759966","1756939","NA","1759966","NA","NA","1756513","New experiment","0","1766558","2","yes","1024","6"
"undefined","undefined","594097.333333","594097.333333","black","legacy","2esli","0","esli","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","1","1","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","PL","PST","4","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","15734","1752879","15734","NA","2","Гости не сообщили, если они приедут.","1024","2","48000","-16","experiment","PRF","PL","FUT","so","36","even","1774160","NA","NA","3599","1774172","NA","3619","NA","1756513","1792620","3619","1792540","1776792","1774172","NA","1776792","NA","NA","1756513","New experiment","0","1782292","3","yes","1024","6"
"undefined","undefined","447033.25","447033.25","black","legacy","12li","0","li","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","SG","PST","23","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","5841","1752879","5841","NA","2","Нина спросила, поели ли дети.","1024","2","48000","-16","experiment","PRF","PL","PST","vos","36","even","1792994","NA","NA","3599","1793005","NA","3619","NA","1756513","1801145","3619","1801065","1795210","1793006","NA","1795210","NA","NA","1756513","New experiment","0","1788133","4","yes","1024","5"
"undefined","undefined","599525.833333","599525.833333","black","legacy","8esli","0","li","esli","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","0","2","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","SG","PST","16","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","3654","1805368","3654","NA","2","Миша уточнил, если на обед будет суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","ovs","36","even","1809348","NA","1808989","3599","1809361","NA","3619","NA","1756513","1815692","3619","1815612","1811944","1809361","1801201","1811944","NA","NA","1756513","New experiment","0","3597155","6","yes","1024","7"
"undefined","undefined","514547","514547","black","legacy","1esli","0","li","esli","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","1","2","/Users/olgavorontsova/Downloads/subject-36.csv","IMP","SG","PST","2","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","4674","1805368","4674","NA","2","Саша не знала, если дети придут домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","svo","36","even","1816110","NA","1808989","3599","1816122","NA","3619","NA","1756513","1823666","3619","1823586","1818898","1816122","1801201","1818898","NA","NA","1756513","New experiment","0","3601829","7","yes","1024","7"
"undefined","undefined","451054.375","451054.375","black","legacy","18li","0","li","li","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","PL","PST","35","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","6606","1805368","6606","NA","2","Хозяева уточнили, выключила ли Маша плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","vso","36","even","1824106","NA","1808989","3599","1824119","NA","3619","NA","1756513","1833875","3619","1833795","1827175","1824119","1801201","1827175","NA","NA","1756513","New experiment","0","3608435","8","yes","1024","6"
"undefined","undefined","401214.444444","401214.444444","black","legacy","3distr","0","li","distr","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","3","2","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","2495","1805368","2495","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","36","even","1834322","NA","1808989","3599","1834335","NA","3619","NA","1756513","1840136","3619","1840056","1837545","1834335","1801201","1837545","NA","NA","1756513","New experiment","0","3610930","9","yes","1024","6"
"undefined","undefined","364552.3","364552.3","black","legacy","1distr","0","li","distr","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","4","2","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.8","0","4","space","4","NA","34593","1805368","34593","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","36","even","1840609","NA","1808989","3599","1840623","NA","3619","NA","1756513","1878072","3619","1877992","1843385","1840623","1801201","1843384","NA","NA","1756513","New experiment","0","3645523","10","yes","1024","7"
"undefined","undefined","331601.545455","331601.545455","black","legacy","15li","0","li","li","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","5","2","/Users/olgavorontsova/Downloads/subject-36.csv","PRF","SG","PST","29","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","2094","1805368","2094","NA","2","Учитель поинтересовался, выполнили ли ученики задание.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","36","even","1878551","NA","1808989","3599","1878563","NA","3619","NA","1756513","1884443","3619","1884363","1882255","1878564","1801201","1882255","NA","NA","1756513","New experiment","0","3647617","11","yes","1024","6"
"undefined","undefined","304069.333333","304069.333333","black","legacy","3esli","0","li","esli","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","Sun Jan 12 22:52:52 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","6","2","/Users/olgavorontsova/Downloads/subject-36.csv","IMP","PL","PST","6","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","1215","1805368","1215","NA","2","Туристы сомневались, если вечером будет дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","36","even","1884872","NA","1808989","3599","1884884","NA","3619","NA","1756513","1889139","3619","1889059","1887829","1884884","1801201","1887829","NA","NA","1756513","New experiment","0","3648832","12","yes","1024","6"
