"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training1","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","12554","12554","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","0","0","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","12506","12602","12506","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","39","odd","16470","NA","NA","3418","16484","NA","3460","16075","NA","32118","3460","32038","19515","16484","NA","19515","NA","16076","NA","New experiment","0","25108","2","yes","1024","6"
"undefined","undefined","9076.33333333","9076.33333333","black","legacy","2li","0","li","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","1","1","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","PL","PST","3","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2121","12602","2121","NA","2","Гости не сообщили, приедут ли они.","1024","2","48000","-16","experiment","PRF","PL","FUT","vs","39","odd","32496","NA","NA","3418","32509","NA","3460","16075","NA","37134","3460","37054","34918","32509","NA","34918","NA","16076","NA","New experiment","0","27229","3","yes","1024","6"
"undefined","undefined","7754.5","7754.5","black","legacy","12esli","0","esli","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","2","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","SG","PST","24","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","3789","12602","3789","NA","2","Нина спросила, если дети поели.","1024","2","48000","-16","experiment","PRF","PL","PST","sv","39","odd","37474","NA","NA","3418","37485","NA","3460","16075","NA","43583","3460","43503","39696","37485","NA","39696","NA","16076","NA","New experiment","0","31018","4","yes","1024","5"
"undefined","undefined","12502","12502","black","legacy","8li","0","li","NA","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","0","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","SG","PST","15","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","809","43185","809","NA","2","Миша уточнил, будет ли на обед суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","vos","39","odd","46993","46648","NA","3418","47004","NA","3460","16075","NA","50362","3460","50282","49458","47004","43622","49458","NA","16076","NA","New experiment","0","75012","6","yes","1024","7"
"undefined","undefined","10820","10820","black","legacy","1li","0","li","NA","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","1","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","IMP","SG","PST","1","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","728","43185","728","NA","2","Саша не знала, придут ли дети домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","vso","39","odd","50780","46648","NA","3418","50792","NA","3460","16075","NA","54031","3460","53950","53207","50792","43622","53207","NA","16076","NA","New experiment","0","75740","7","yes","1024","7"
"undefined","undefined","9806.5","9806.5","black","legacy","18esli","0","esli","NA","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","2","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","PL","PST","36","Kafkaesque Koffka","3.2.7","0","3","space","3","NA","2712","43185","2712","NA","2","Хозяева уточнили, если Маша выключила плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","svo","39","odd","54459","46648","NA","3418","54472","NA","3460","16075","NA","60337","3460","60257","57527","54472","43622","57527","NA","16076","NA","New experiment","0","78452","8","yes","1024","6"
"undefined","undefined","8798.66666667","8798.66666667","black","legacy","3distr","0","distr","NA","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","3","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","736","43185","736","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","39","odd","60760","46648","NA","3418","60772","NA","3460","16075","NA","64802","3460","64722","63972","60772","43622","63972","NA","16076","NA","New experiment","0","79188","9","yes","1024","6"
"undefined","undefined","8212.5","8212.5","black","legacy","1distr","0","distr","NA","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","4","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2937","43185","2937","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","39","odd","65189","46648","NA","3418","65201","NA","3460","16075","NA","71000","3460","70920","67968","65201","43622","67968","NA","16076","NA","New experiment","0","82125","10","yes","1024","7"
"undefined","undefined","7524","7524","black","legacy","15esli","0","esli","NA","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","5","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","PRF","SG","PST","30","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","639","43185","639","NA","2","Учитель поинтересовался, если ученики выполнили задание.","1024","2","48000","-16","experiment","PRF","PL","PST","svo","39","odd","71447","46648","NA","3418","71459","NA","3460","16075","NA","75761","3460","75681","75024","71459","43622","75023","NA","16076","NA","New experiment","0","82764","11","yes","1024","6"
"undefined","undefined","6923.83333333","6923.83333333","black","legacy","3li","0","li","NA","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","Sat Jan 25 19:02:35 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","6","2","/Users/nadya/Desktop/Эксперимент/subject-39.csv","IMP","PL","PST","5","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","322","43185","322","NA","2","Туристы сомневались, будет ли вечером дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","39","odd","76146","46648","NA","3418","76158","NA","3460","16075","NA","79324","3460","79244","78904","76158","43622","78904","NA","16076","NA","New experiment","0","83086","12","yes","1024","6"
