"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training2","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","13191","13191","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","0","0","C:/Users/lev/Documents/L08HO.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1534","24848","1534","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","8","even","27821","NA","NA","2596","27823","NA","2601","NA","27451","32464","2601","32384","30847","27823","NA","30846","NA","NA","27451","New experiment","0","26382","2","yes","1024","6"
"undefined","undefined","10277.6666667","10277.6666667","black","legacy","2esli","0","esli","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","1","1","C:/Users/lev/Documents/L08HO.csv","PRF","PL","PST","4","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","4451","24848","4451","NA","2","Гости не сообщили, если они приедут.","1024","2","48000","-16","experiment","PRF","PL","FUT","so","8","even","32893","NA","NA","2596","32895","NA","2601","NA","27451","40032","2601","39952","35498","32895","NA","35498","NA","NA","27451","New experiment","0","30833","3","yes","1024","6"
"undefined","undefined","7916.5","7916.5","black","legacy","12li","0","li","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/L08HO.csv","PRF","SG","PST","23","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","833","24848","833","NA","2","Нина спросила, поели ли дети.","1024","2","48000","-16","experiment","PRF","PL","PST","vos","8","even","40435","NA","NA","2596","40438","NA","2601","NA","27451","43543","2601","43463","42628","40438","NA","42627","NA","NA","27451","New experiment","0","31666","4","yes","1024","5"
"undefined","undefined","14456.1666667","14456.1666667","black","legacy","8esli","0","li","esli","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","0","2","C:/Users/lev/Documents/L08HO.csv","PRF","SG","PST","16","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","3548","51523","3548","NA","2","Миша уточнил, если на обед будет суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","ovs","8","even","54455","NA","54125","2596","54457","NA","2601","NA","27451","60657","2601","60577","57027","54458","43608","57027","NA","NA","27451","New experiment","0","86737","6","yes","1024","7"
"undefined","undefined","12755.5714286","12755.5714286","black","legacy","1esli","0","li","esli","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","1","2","C:/Users/lev/Documents/L08HO.csv","IMP","SG","PST","2","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","2552","51523","2552","NA","2","Саша не знала, если дети придут домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","svo","8","even","61086","NA","54125","2596","61088","NA","2601","NA","27451","66480","2601","66400","63846","61088","43608","63846","NA","NA","27451","New experiment","0","89289","7","yes","1024","7"
"undefined","undefined","11297.125","11297.125","black","legacy","18li","0","li","li","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/L08HO.csv","PRF","PL","PST","35","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1088","51523","1088","NA","2","Хозяева уточнили, выключила ли Маша плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","vso","8","even","66915","NA","54125","2596","66917","NA","2601","NA","27451","71137","2601","71057","69966","66917","43608","69966","NA","NA","27451","New experiment","0","90377","8","yes","1024","6"
"undefined","undefined","10113.8888889","10113.8888889","black","legacy","3distr","0","li","distr","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","3","2","C:/Users/lev/Documents/L08HO.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","648","51523","648","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","8","even","71595","NA","54125","2596","71597","NA","2601","NA","27451","75527","2601","75447","74796","71597","43608","74796","NA","NA","27451","New experiment","0","91025","9","yes","1024","6"
"undefined","undefined","9399.1","9399.1","black","legacy","1distr","0","li","distr","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","4","2","C:/Users/lev/Documents/L08HO.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2966","51523","2966","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","8","even","75964","NA","54125","2596","75966","NA","2601","NA","27451","81767","2601","81687","78718","75966","43608","78718","NA","NA","27451","New experiment","0","93991","10","yes","1024","7"
"undefined","undefined","8603.27272727","8603.27272727","black","legacy","15li","0","li","li","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","5","2","C:/Users/lev/Documents/L08HO.csv","PRF","SG","PST","29","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","645","51523","645","NA","2","Учитель поинтересовался, выполнили ли ученики задание.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","8","even","82243","NA","54125","2596","82245","NA","2601","NA","27451","86653","2601","86573","85926","82245","43608","85926","NA","NA","27451","New experiment","0","94636","11","yes","1024","6"
"undefined","undefined","7948.83333333","7948.83333333","black","legacy","3esli","0","li","esli","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","6","2","C:/Users/lev/Documents/L08HO.csv","IMP","PL","PST","6","Kafkaesque Koffka","3.2.7","0","3","space","3","NA","750","51523","750","NA","2","Туристы сомневались, если вечером будет дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","8","even","87068","NA","54125","2596","87070","NA","2601","NA","27451","90840","2601","90760","90008","87070","43608","90007","NA","NA","27451","New experiment","0","95386","12","yes","1024","6"
"undefined","undefined","7370.61538462","7370.61538462","black","legacy","6distr","0","li","distr","uniform","undefined","undefined","undefined","10","0","0","0","10","NA","0","0","0","10","2","10","10","10","1","10","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","7","2","C:/Users/lev/Documents/L08HO.csv","PRF","SG","FUT","46","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","432","51523","432","NA","2","Женя пойдёт гулять, если его позовут.","1024","2","48000","-16","experiment","PRF","SG","FUT","ov","8","even","91242","NA","54125","2596","91244","NA","2601","NA","27451","94272","2601","94192","93757","91244","43608","93757","NA","NA","27451","New experiment","0","95818","13","yes","1024","6"
"undefined","undefined","6975.64285714","6975.64285714","black","legacy","6li","0","li","li","uniform","undefined","undefined","undefined","11","0","0","0","11","NA","0","0","0","11","2","11","11","11","1","11","0","0","0","12/08/19 18:08:38","The main experiment item","yes","tmp110oashp.osexp","C:/Users/lev/Documents","no","mono","no","18","no","white","no","yes","768","8","2","C:/Users/lev/Documents/L08HO.csv","PRF","SG","PST","11","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","1841","51523","1841","NA","2","Лена задумалась, понравились ли ей подарки.","1024","2","48000","-16","experiment","PRF","PL","PST","vos","8","even","94706","NA","54125","2596","94708","NA","2601","NA","27451","99441","2601","99361","97517","94708","43608","97517","NA","NA","27451","New experiment","0","97659","14","yes","1024","6"
