"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training2","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","320853.5","320853.5","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","0","0","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","2815","638892","2815","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","12","even","641089","NA","NA","1965","641091","NA","1967","NA","640860","647011","1968","646930","644114","641091","NA","644114","NA","NA","640860","New experiment","0","641707","2","yes","1024","6"
"undefined","undefined","214343","214343","black","legacy","2esli","0","esli","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","1","1","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","PL","PST","4","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","1322","638892","1322","NA","2","Гости не сообщили, если они приедут.","1024","2","48000","-16","experiment","PRF","PL","FUT","so","12","even","647255","NA","NA","1965","647256","NA","1967","NA","640860","651278","1968","651198","649874","647256","NA","649874","NA","NA","640860","New experiment","0","643029","3","yes","1024","6"
"undefined","undefined","161154.75","161154.75","black","legacy","12li","0","li","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","SG","PST","23","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1590","638892","1590","NA","2","Нина спросила, поели ли дети.","1024","2","48000","-16","experiment","PRF","PL","PST","vos","12","even","651498","NA","NA","1965","651500","NA","1967","NA","640860","655347","1968","655266","653675","651500","NA","653675","NA","NA","640860","New experiment","0","644619","4","yes","1024","5"
"undefined","undefined","228762","228762","black","legacy","8esli","0","li","esli","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","0","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","SG","PST","16","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","3377","724576","3377","NA","2","Миша уточнил, если на обед будет суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","ovs","12","even","726743","NA","726544","1965","726745","NA","1967","NA","640860","732784","1968","732704","729325","726745","655374","729325","NA","NA","640860","New experiment","0","1372572","6","yes","1024","7"
"undefined","undefined","196440","196440","black","legacy","1esli","0","li","esli","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","1","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","IMP","SG","PST","2","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","2508","724576","2508","NA","2","Саша не знала, если дети придут домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","svo","12","even","733023","NA","726544","1965","733025","NA","1967","NA","640860","738374","1968","738294","735784","733025","655374","735784","NA","NA","640860","New experiment","0","1375080","7","yes","1024","7"
"undefined","undefined","171929.25","171929.25","black","legacy","18li","0","li","li","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","PL","PST","35","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","354","724576","354","NA","2","Хозяева уточнили, выключила ли Маша плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","vso","12","even","738624","NA","726544","1965","738626","NA","1967","NA","640860","742110","1968","742030","741674","738626","655374","741674","NA","NA","640860","New experiment","0","1375434","8","yes","1024","6"
"undefined","undefined","152947.44444444444","152947.44444444444","black","legacy","3distr","0","li","distr","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","3","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1093","724576","1093","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","12","even","742370","NA","726544","1965","742371","NA","1967","NA","640860","746729","1968","746649","745554","742371","655374","745554","NA","NA","640860","New experiment","0","1376527","9","yes","1024","6"
"undefined","undefined","137786.7","137786.7","black","legacy","1distr","0","li","distr","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","4","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1340","724576","1340","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","12","even","746978","NA","726544","1965","746980","NA","1967","NA","640860","751136","1968","751056","749714","746980","655374","749714","NA","NA","640860","New experiment","0","1377867","10","yes","1024","7"
"undefined","undefined","125284.27272727272","125284.27272727272","black","legacy","15li","0","li","li","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","5","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","PRF","SG","PST","29","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","260","724576","260","NA","2","Учитель поинтересовался, выполнили ли ученики задание.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","12","even","751424","NA","726544","1965","751426","NA","1967","NA","640860","755457","1968","755377","755115","751426","655374","755115","NA","NA","640860","New experiment","0","1378127","11","yes","1024","6"
"undefined","undefined","114899","114899","black","legacy","3esli","0","li","esli","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","Tue Dec 10 05:27:23 2019","The main experiment item","yes","liesli (2).osexp","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment","no","mono","no","18","no","white","no","yes","768","6","2","C:/Users/sonja/OneDrive/EMCL+/Linglab/experiment/L12HY.csv","IMP","PL","PST","6","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","661","724576","661","NA","2","Туристы сомневались, если вечером будет дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","12","even","755701","NA","726544","1965","755702","NA","1967","NA","640860","759378","1968","759297","758635","755702","655374","758635","NA","NA","640860","New experiment","0","1378788","12","yes","1024","6"
