"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training2","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","18701.5","18701.5","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","0","0","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.8","0","3","space","3","NA","4906","32497","4906","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","38","even","37535","NA","NA","4515","37553","NA","4536","NA","37056","45600","4536","45520","40590","37553","NA","40590","NA","NA","37056","New experiment","0","37403","2","yes","1024","6"
"undefined","undefined","13288.3333333","13288.3333333","black","legacy","2esli","0","esli","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","1","1","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","PL","PST","4","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","2462","32497","2462","NA","2","Гости не сообщили, если они приедут.","1024","2","48000","-16","experiment","PRF","PL","FUT","so","38","even","46042","NA","NA","4515","46055","NA","4536","NA","37056","51248","4536","51168","48684","46055","NA","48683","NA","NA","37056","New experiment","0","39865","3","yes","1024","6"
"undefined","undefined","11493.5","11493.5","black","legacy","12li","0","li","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","SG","PST","23","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","6109","32497","6109","NA","2","Нина спросила, поели ли дети.","1024","2","48000","-16","experiment","PRF","PL","PST","vos","38","even","51640","NA","NA","4515","51652","NA","4536","NA","37056","60062","4536","59982","53851","51652","NA","53850","NA","NA","37056","New experiment","0","45974","4","yes","1024","5"
"undefined","undefined","18589.1666667","18589.1666667","black","legacy","8esli","0","li","esli","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","0","2","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","SG","PST","16","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","1337","64224","1337","NA","2","Миша уточнил, если на обед будет суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","ovs","38","even","69149","NA","68762","4515","69162","NA","4536","NA","37056","73185","4536","73105","71745","69162","60111","71744","NA","NA","37056","New experiment","0","111535","6","yes","1024","7"
"undefined","undefined","15957.5714286","15957.5714286","black","legacy","1esli","0","li","esli","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","1","2","/Users/olgavorontsova/Downloads/subject-38.csv","IMP","SG","PST","2","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","168","64224","168","NA","2","Саша не знала, если дети придут домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","svo","38","even","73626","NA","68762","4515","73639","NA","4536","NA","37056","76681","4536","76601","76418","73639","60111","76418","NA","NA","37056","New experiment","0","111703","7","yes","1024","7"
"undefined","undefined","14039.5","14039.5","black","legacy","18li","0","li","li","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","PL","PST","35","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","613","64224","613","NA","2","Хозяева уточнили, выключила ли Маша плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","vso","38","even","77131","NA","68762","4515","77144","NA","4536","NA","37056","80901","4536","80820","80192","77144","60111","80191","NA","NA","37056","New experiment","0","112316","8","yes","1024","6"
"undefined","undefined","12630.6666667","12630.6666667","black","legacy","3distr","0","li","distr","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","3","2","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","1360","64224","1360","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","38","even","81372","NA","68762","4515","81384","NA","4536","NA","37056","86038","4536","85958","84582","81385","60111","84582","NA","NA","37056","New experiment","0","113676","9","yes","1024","6"
"undefined","undefined","11607.5","11607.5","black","legacy","1distr","0","li","distr","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","4","2","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.8","0","4","space","4","NA","2399","64224","2399","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","38","even","86472","NA","68762","4515","86485","NA","4536","NA","37056","91730","4536","91650","89235","86485","60111","89235","NA","NA","37056","New experiment","0","116075","10","yes","1024","7"
"undefined","undefined","10700.0909091","10700.0909091","black","legacy","15li","0","li","li","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","5","2","/Users/olgavorontsova/Downloads/subject-38.csv","PRF","SG","PST","29","Kafkaesque Koffka","3.2.8","0","5","space","5","NA","1626","64224","1626","NA","2","Учитель поинтересовался, выполнили ли ученики задание.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","38","even","92219","NA","68762","4515","92231","NA","4536","NA","37056","97657","4536","97576","95936","92232","60111","95936","NA","NA","37056","New experiment","0","117701","11","yes","1024","6"
"undefined","undefined","9851.58333333","9851.58333333","black","legacy","3esli","0","li","esli","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","Thu Jan 16 13:56:05 2020","The main experiment item","yes","liesli.osexp","/Users/olgavorontsova/Downloads","no","mono","no","18","no","white","no","yes","768","6","2","/Users/olgavorontsova/Downloads/subject-38.csv","IMP","PL","PST","6","Kafkaesque Koffka","3.2.8","0","1","space","1","NA","518","64224","518","NA","2","Туристы сомневались, если вечером будет дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","38","even","98121","NA","68762","4515","98134","NA","4536","NA","37056","101690","4536","101609","101077","98134","60111","101077","NA","NA","37056","New experiment","0","118219","12","yes","1024","6"
