"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training1","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","13327.5","13327.5","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","0","0","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","12992","13663","12992","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","43","odd","17790","NA","NA","3659","17805","NA","3703","17386","NA","33930","3704","33850","20840","17805","NA","20840","NA","17386","NA","New experiment","0","26655","2","yes","1024","6"
"undefined","undefined","10546","10546","black","legacy","2li","0","li","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","1","1","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","PL","PST","3","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","4983","13663","4983","NA","2","Гости не сообщили, приедут ли они.","1024","2","48000","-16","experiment","PRF","PL","FUT","vs","43","odd","34304","NA","NA","3659","34318","NA","3703","17386","NA","41790","3704","41710","36713","34318","NA","36713","NA","17386","NA","New experiment","0","31638","3","yes","1024","6"
"undefined","undefined","8253.5","8253.5","black","legacy","12esli","0","esli","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","2","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","SG","PST","24","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1376","13663","1376","NA","2","Нина спросила, если дети поели.","1024","2","48000","-16","experiment","PRF","PL","PST","sv","43","odd","42131","NA","NA","3659","42142","NA","3703","17386","NA","45836","3704","45756","44361","42143","NA","44361","NA","17386","NA","New experiment","0","33014","4","yes","1024","5"
"undefined","undefined","13212","13212","black","legacy","8li","0","li","NA","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","0","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","SG","PST","15","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2156","44102","2156","NA","2","Миша уточнил, будет ли на обед суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","vos","43","odd","48157","47808","NA","3659","48168","NA","3703","17386","NA","52894","3704","52814","50642","48168","45878","50642","NA","17386","NA","New experiment","0","79272","6","yes","1024","7"
"undefined","undefined","11505.7142857","11505.7142857","black","legacy","1li","0","li","NA","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","1","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","IMP","SG","PST","1","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1268","44102","1268","NA","2","Саша не знала, придут ли дети домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","vso","43","odd","53250","47808","NA","3659","53261","NA","3703","17386","NA","57031","3704","56951","55669","53261","45878","55669","NA","17386","NA","New experiment","0","80540","7","yes","1024","7"
"undefined","undefined","10131.25","10131.25","black","legacy","18esli","0","esli","NA","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","2","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","PL","PST","36","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","510","44102","510","NA","2","Хозяева уточнили, если Маша выключила плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","svo","43","odd","57445","47808","NA","3659","57456","NA","3703","17386","NA","61120","3704","61040","60511","57456","45878","60511","NA","17386","NA","New experiment","0","81050","8","yes","1024","6"
"undefined","undefined","9097.44444444","9097.44444444","black","legacy","3distr","0","distr","NA","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","3","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","827","44102","827","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","43","odd","61548","47808","NA","3659","61561","NA","3703","17386","NA","65682","3704","65601","64760","61561","45878","64760","NA","17386","NA","New experiment","0","81877","9","yes","1024","6"
"undefined","undefined","8456.4","8456.4","black","legacy","1distr","0","distr","NA","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","4","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2687","44102","2687","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","43","odd","66090","47808","NA","3659","66103","NA","3703","17386","NA","71641","3704","71560","68859","66103","45878","68859","NA","17386","NA","New experiment","0","84564","10","yes","1024","7"
"undefined","undefined","7786.36363636","7786.36363636","black","legacy","15esli","0","esli","NA","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","5","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","PRF","SG","PST","30","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1086","44102","1086","NA","2","Учитель поинтересовался, если ученики выполнили задание.","1024","2","48000","-16","experiment","PRF","PL","PST","svo","43","odd","72112","47808","NA","3659","72124","NA","3703","17386","NA","76871","3704","76791","75690","72124","45878","75690","NA","17386","NA","New experiment","0","85650","11","yes","1024","6"
"undefined","undefined","7307.33333333","7307.33333333","black","legacy","3li","0","li","NA","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","Mon Jan 27 19:36:39 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","6","2","/Users/nadya/Desktop/Эксперимент/subject-43.csv","IMP","PL","PST","5","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","2038","44102","2038","NA","2","Туристы сомневались, будет ли вечером дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","43","odd","77247","47808","NA","3659","77259","NA","3703","17386","NA","82146","3704","82066","80015","77259","45878","80015","NA","17386","NA","New experiment","0","87688","12","yes","1024","6"
